texto,origen,texto_limpio,tokens,longitud
"| URGENTE: El presidente Daniel Noboa comparte una imagen de exvicepresidente del comunista Rafael Correa, preso por corrupción : “Bienvenido al nuevo hogar. Pronto llegarán otros criminales.” ¿Apoyas esta CONTUNDENTE MEDIDA de Noboa?",x,urgente el presidente daniel noboa comparte una imagen de exvicepresidente del comunista rafael correa preso por corrupcion bienvenido al nuevo hogar pronto llegaran otros criminales apoyas esta contundente medida de noboa,"['urgent', 'president', 'daniel', 'nobo', 'compart', 'imag', 'exvicepresident', 'comun', 'rafael', 'corre', 'pres', 'corrupcion', 'bienven', 'nuev', 'hog', 'pront', 'lleg', 'criminal', 'apoy', 'contundent', 'med', 'nobo']",33
Lo que Rafael Correa no le perdona a Daniel Noboa es haber salvado al Ecuador de la quiebra total.,x,lo que rafael correa no le perdona a daniel noboa es haber salvado al ecuador de la quiebra total,"['rafael', 'corre', 'perdon', 'daniel', 'nobo', 'hab', 'salv', 'ecuador', 'quiebr', 'total']",19
#NosGobiernanDelincuentes,x,,[],1
"RAFAEL CORREA LO TRATÓ MAL A PABEL MUÑOZ PERO AHÍ ESTÁ EN LA CONVENCIÓN   Sin pena ni gloria, y sin vergüenza llegó el alcalde de Quito, Pabel Muñoz, a la convención de la RC5 en Manta.",x,rafael correa lo trato mal a pabel munoz pero ahi esta en la convencion sin pena ni gloria y sin verguenza llego el alcalde de quito pabel munoz a la convencion de la rc en manta,"['rafael', 'corre', 'trat', 'mal', 'pabel', 'munoz', 'ahi', 'convencion', 'pen', 'glori', 'verguenz', 'lleg', 'alcald', 'quit', 'pabel', 'munoz', 'convencion', 'mant']",36
#ATENCION | Rafael Correa intervino durante la convención nacional de la Revolución Ciudadana en Manta. El expresidente se refirió a la salida de militantes del movimiento en medio del encuentro político: “Los que se van son los que nunca debieron estar; siempre preferiremos ser,x,rafael correa intervino durante la convencion nacional de la revolucion ciudadana en manta el expresidente se refirio a la salida de militantes del movimiento en medio del encuentro politico los que se van son los que nunca debieron estar siempre preferiremos ser,"['rafael', 'corre', 'intervin', 'convencion', 'nacional', 'revolucion', 'ciudadan', 'mant', 'expresident', 'refiri', 'sal', 'milit', 'movimient', 'medi', 'encuentr', 'polit', 'van', 'nunc', 'deb', 'siempr', 'prefer', 'ser']",44
El mundo  sabe que Rafael Correa es el responsable de la escalada de violencia en Ecuador.  Un miserable es 4 pelos.,x,el mundo sabe que rafael correa es el responsable de la escalada de violencia en ecuador un miserable es pelos,"['mund', 'sab', 'rafael', 'corre', 'respons', 'escal', 'violenci', 'ecuador', 'miser', 'pel']",21
"UY, ¿INDIRECTA CON NOMBRE Y APELLIDO?  Desde la Convención Nacional de la Revolución Ciudadana, Rafael Correa se refirió a la salida de militantes del movimiento: “Los que se van son los que nunca debieron estar”.",x,uy indirecta con nombre y apellido desde la convencion nacional de la revolucion ciudadana rafael correa se refirio a la salida de militantes del movimiento los que se van son los que nunca debieron estar,"['indirect', 'nombr', 'apell', 'convencion', 'nacional', 'revolucion', 'ciudadan', 'rafael', 'corre', 'refiri', 'sal', 'milit', 'movimient', 'van', 'nunc', 'deb']",35
"Rafael Correa promovió este ""perfil"".  Es un miserable, un traidor de la Patria.  Asqueroso.",x,rafael correa promovio este perfil es un miserable un traidor de la patria asqueroso,"['rafael', 'corre', 'promovi', 'perfil', 'miser', 'traidor', 'patri', 'asquer']",14
"| ASCO TOTAL: El prófugo comunista Rafael Correa “da la bienvenida” a Gabriela Rivadeneira como presidente de la RC5: “Gracias, querida Gabriela, por aceptar este inmenso desafío. Vuelves a tu patria repleta de dignidad”, dice quien huyó de la justicia y hoy reparte cargos,",x,asco total el profugo comunista rafael correa da la bienvenida a gabriela rivadeneira como presidente de la rc gracias querida gabriela por aceptar este inmenso desafio vuelves a tu patria repleta de dignidad dice quien huyo de la justicia y hoy reparte cargos,"['asco', 'total', 'profug', 'comun', 'rafael', 'corre', 'bienven', 'gabriel', 'rivadeneir', 'president', 'graci', 'quer', 'gabriel', 'acept', 'inmens', 'desafi', 'vuelv', 'patri', 'replet', 'dignid', 'dic', 'huy', 'justici', 'hoy', 'repart', 'carg']",44
Tuvieron que hacer un año viejo del prófugo y criminal de Rafael Correa para amargar a los borregos que fueron al encuentro de mafias.,x,tuvieron que hacer un ano viejo del profugo y criminal de rafael correa para amargar a los borregos que fueron al encuentro de mafias,"['hac', 'ano', 'viej', 'profug', 'criminal', 'rafael', 'corre', 'amarg', 'borreg', 'encuentr', 'mafi']",24
"ASÍ terminó el bandido corrupto y prófugo de la justicia Rafael Correa, viviendo solo en Bélgica, con un gato y con dos celulares. El crimen no PAGA. Gracias Daniel Noboa por mantener a estas ratas lejos de Ecuador. ¿Apoyas esto?",x,asi termino el bandido corrupto y profugo de la justicia rafael correa viviendo solo en belgica con un gato y con dos celulares el crimen no paga gracias daniel noboa por mantener a estas ratas lejos de ecuador apoyas esto,"['asi', 'termin', 'band', 'corrupt', 'profug', 'justici', 'rafael', 'corre', 'viv', 'sol', 'belgic', 'gat', 'dos', 'celular', 'crim', 'pag', 'graci', 'daniel', 'nobo', 'manten', 'rat', 'lej', 'ecuador', 'apoy']",40
"Debatir con un derechista es:  ""El izquierdismo ha destruido a la sociedad ecuatoriana basado en la información pública que tenemos, cómo por ejemplo, la tabla de consumo implementada en la época de Rafael Correa.""  Debatir con un Correista es:  ""Te gusta la v3rga hijo de p**** y",x,debatir con un derechista es el izquierdismo ha destruido a la sociedad ecuatoriana basado en la informacion publica que tenemos como por ejemplo la tabla de consumo implementada en la epoca de rafael correa debatir con un correista es te gusta la vrga hijo de p y,"['debat', 'derech', 'izquierd', 'destru', 'socied', 'ecuatorian', 'bas', 'inform', 'public', 'ejempl', 'tabl', 'consum', 'implement', 'epoc', 'rafael', 'corre', 'debat', 'correist', 'gust', 'vrga', 'hij']",47
"ATENCIÓN | El gobierno de Daniel Noboa pedirá la difusión roja de Interpol para Rafael Correa, acusado de corrupción y con prohibición de entrada a EE.UU. Parece que sus “logros” no lo salvaron de enfrentar la justicia, ni en EE.UU., donde le prohibieron la entrada.",x,atencion el gobierno de daniel noboa pedira la difusion roja de interpol para rafael correa acusado de corrupcion y con prohibicion de entrada a eeuu parece que sus logros no lo salvaron de enfrentar la justicia ni en eeuu donde le prohibieron la entrada,"['atencion', 'gobiern', 'daniel', 'nobo', 'pedir', 'difusion', 'roj', 'interpol', 'rafael', 'corre', 'acus', 'corrupcion', 'prohibicion', 'entrad', 'eeuu', 'parec', 'logr', 'salv', 'enfrent', 'justici', 'eeuu', 'prohib', 'entrad']",45
